ИНДЕКС 1,"Угол нашивки, град",Шаг нашивки,Плотность нашивки,Соотношение матрица-наполнитель,"Плотность, кг/м3","модуль упругости, ГПа","Количество отвердителя, м.%","Содержание эпоксидных групп,%_2","Температура вспышки, С_2","Поверхностная плотность, г/м2","Модуль упругости при растяжении, ГПа","Прочность при растяжении, МПа","Потребление смолы, г/м2"
269,0,"8,2630463137","47,5605674481","2,4481422797","1966,7338987402","431,3529260343","146,8317154613","23,0843970029","298,9710922184","218,3834843025","79,6966061744","2590,4935143434","200,0064920272"
270,0,"12,2785795372","53,714942598","2,1920992641","1935,1624125183","1016,9760499485","95,568748286","26,2926635542","302,2248702093","337,5007003126","71,7610628018","1071,1237514766","210,6611945761"
271,0,"2,8677290739","55,4803871584","3,5243107979","1972,0538157705","677,704062462","95,7640715833","26,5441229295","252,0536128143","112,4595644759","76,540168759","2229,631180035","225,9573827863"
272,0,"6,7027843917","48,3306068198","1,1453486379","1883,3691484391","850,1258006492","151,0232369756","19,6848102807","254,3438187772","757,3609472176","76,821418352","2301,1237161107","255,3470230928"
273,0,"10,0469989609","46,8425085478","1,7040973805","1981,3853364256","948,4760503089","101,3887960313","17,5979900616","254,0512108711","798,6285230398","73,833984446","2099,7299044309","134,4771740907"
274,0,"7,4071658638","62,8062301389","2,793556979","2018,9020135288","820,5857603655","78,5999341067","20,5592804916","316,6946693372","821,8333118683","77,248585863","2753,359817571","147,5662453662"
275,0,"2,0945317992","61,3804563758","4,1096244374","1916,2278112419","950,4341396757","132,1567724209","23,9114580297","273,7753268441","266,4924732033","71,9560381987","2060,9859918602","302,8941979103"
276,0,"10,2996564469","78,4434948658","2,8205710727","1977,9075034429","1281,2333838886","64,0193970994","23,6454874787","329,2990435214","314,0375487779","73,8326448438","3548,0547308824","277,1180390717"
277,0,"6,2113278206","69,9374997881","2,4504746088","1854,8946919917","709,4307379234","100,4715672629","20,7098800568","290,3974909706","219,5736437007","79,1455218725","3123,2031662156","249,0344359285"
278,0,"0,939462474","78,4290828116","2,5323227342","1999,044768738","1074,6548606051","119,1214673172","20,9108346096","311,5902189444","583,8601019068","70,3985617342","2127,9012821733","156,5752650646"
279,0,"2,7884763494","11,7401256604","4,4344290625","2061,9187706137","328,8766255038","81,071392929","23,2132180568","244,8740999556","934,7802457688","76,2382581456","2995,9526061018","178,0661504612"
280,0,"9,0594053183","31,6741887847","3,6784774181","2005,4129660717","414,3753638826","131,173357012","24,6663277441","260,7055474789","485,5161130012","70,8383066414","2482,7109469132","283,3677084026"
281,0,"5,5773628348","56,8398849842","3,4059321875","2030,6098953026","497,5437233404","134,8711061351","23,2624264066","264,7076994496","811,2580983763","76,0996966125","2868,7130284375","220,6462958786"
282,0,"5,3012320144","51,2739888785","2,4831682795","1949,4802317655","610,6640352278","99,7907867091","22,070878485","364,3412469892","696,8865424072","73,4980931238","3052,4301937317","313,9823445407"
283,0,"4,8478031944","56,6928592975","2,1738153274","1977,3029561397","495,742464121","133,221866078","23,2756225198","277,6453914109","239,4560534244","69,4200071574","2971,0137830019","279,2817565964"
284,0,"4,1856046239","31,2184500169","5,4251394744","2003,2721194044","524,8101097127","138,2917062384","20,7936641138","370,8235753173","267,5764360398","68,4921138689","1837,3165351392","226,1361047417"
285,0,"7,0161819355","67,4489848035","3,8647664515","1964,924430642","369,4487928229","138,6991653658","21,9096723731","276,3939192577","176,460142342","74,0179141927","1630,317550224","307,3520773922"
286,0,"6,968286137","62,227744733","2,9795014231","1993,8951602755","71,6167707985","85,2099241303","19,9845677223","256,4797104967","856,9123954128","72,0244938607","3005,0310022046","161,5256742705"
287,0,"11,3610125448","50,0316909049","3,1833724315","1953,008677262","1409,7938260658","63,5484280115","24,8610554044","225,5148016972","633,1518976252","73,5519293042","2324,7032776522","235,9516874842"
288,0,"3,7111395414","53,1120737798","2,2861318692","1905,90426217","859,6072739084","77,0603725573","22,0013220005","249,8493978509","500,767655417","76,0209676105","2306,2833977867","355,7586968282"
289,0,"8,3691853613","36,7708876868","2,4633136738","1825,270234581","701,7579443923","134,3276762047","22,8545167248","338,5588788727","325,4806929675","76,5368754266","1529,8285745557","313,7451707464"
290,0,"4,7697328098","61,9643617983","2,0162850679","2035,7189214068","310,2481350943","109,9026715661","22,8929738807","196,3237506494","730,9155008976","73,51368277","2325,0435462197","178,5110060393"
291,0,"9,5560813709","58,0990914152","1,8196825611","1980,605681871","845,0857632212","122,859744444","27,5194705315","318,3903498227","402,4474838557","70,6171872798","2784,2894909196","186,9459586385"
292,0,"6,6302105639","50,363986496","2,1051528739","1840,6359170953","750,6275173285","138,6536352978","20,1767085078","272,6449941237","951,6230330054","78,8725840303","2462,8832428187","278,8497305347"
293,0,"7,9561544544","53,924111911","2,3599002131","1958,0820416144","601,9793567449","79,9528548988","20,6768640323","276,1980963345","673,1545986699","74,5553969369","2604,6164980233","140,5019790952"
294,0,"7,715732588","59,3365797109","4,0331747974","1926,3831360576","137,0595915276","114,4522926072","23,4589717827","276,2517349612","322,0604061297","69,7290946541","2011,5745671335","188,7583620178"
295,0,"3,2542961748","35,5142840617","2,1472993039","2005,3920218404","403,3451836405","128,0918094197","22,2264546546","264,7205499927","139,8307726149","66,0527466249","2476,5768928968","260,0403985984"
296,0,"5,1890037812","67,452870336","3,2027675389","1911,9316796559","955,1757622477","77,9521509006","20,9687527712","310,7266831743","330,922384061","77,1060558589","1811,6074919484","291,5310213479"
297,0,"2,511704088","56,2709495524","2,9032329274","2013,1009674434","784,799212604","114,2944808663","21,9498344886","213,6546356232","252,9577791717","76,8099499276","3031,7343898901","277,2797077127"
298,0,"4,6502620068","63,9566920607","2,3851086532","2129,0596286743","589,7829658799","70,7609536472","14,2549854977","302,0439265189","676,0505519319","76,4722535334","2529,9452127372","92,3071584219"
299,0,"3,1752592468","39,6590336331","3,0834052214","1995,4652824782","723,5979797838","118,7686743952","26,7440433962","266,0687514868","168,1770487356","74,2314081473","2370,338362692","145,7687236804"
300,0,"8,7191209998","43,3061782428","2,6153092996","1958,8994386886","652,4722867375","109,2715497942","21,3471963996","223,953784553","503,0902726591","76,3708590611","1758,1762026041","189,233097625"
301,0,"7,581448391","54,7354283175","2,041420165","2037,9719646961","636,8295142227","135,8664533925","19,7147334532","305,5377810605","734,7346057555","72,9901765269","2820,3277416172","247,9673033662"
302,0,"12,7238863079","68,6471530628","3,6274051178","1991,0919383908","652,4015979333","130,8539338252","20,7321322615","234,50069241","353,4714508589","73,3900292247","2748,078193603","132,9112735982"
303,0,"4,9620360628","55,2607019884","2,5574859646","1899,2135097841","1029,0402890125","94,6567675987","17,2322016005","259,4878830121","303,472252123","72,4613906233","2312,8902802651","180,3290551136"
304,0,"2,981105778","49,5164391116","3,223754083","1943,3445658414","1162,5759529145","88,7301030138","25,2758516157","338,5954506438","388,9914160116","76,4391655392","3056,9932891659","105,2046241806"
305,0,"7,6249570414","54,8385849402","3,1477503493","2048,1196048502","731,8676375267","110,261754441","22,3224256736","248,5202021087","330,9526696445","70,3619237103","2693,6244334266","249,2548955631"
306,0,"8,0396125075","52,2307460323","3,2999607703","2077,8235890383","703,2714990168","114,1004996834","20,7006139258","312,9807438281","1086,5599089224","70,3255325731","2419,7322061252","215,9392027773"
307,0,"11,821565514","58,8245210004","2,3664966448","2062,1646571427","734,7639845478","96,1371023733","26,5424000689","301,627550878","533,7271030549","74,8717787527","2010,6028409978","203,8509409127"
308,0,"9,6746286424","60,163069425","2,18794517","1975,4205484451","31,5345914107","98,2148990772","24,6543355399","312,7420470734","518,1229180264","74,7822725677","2004,8356062151","342,9784717048"
309,0,"9,397396041","25,6828562878","4,6434151075","1945,8453297209","454,7659537837","84,6666481689","26,3013894857","288,0212923601","265,3448380987","79,0961123597","2590,8981153692","188,8924695447"
310,0,"7,5018205259","71,570027932","4,4749680629","1982,3777291826","1152,883021916","102,653478283","20,0695917675","257,7822074836","814,7411224219","78,6294220794","2748,4057349701","220,7303164361"
311,0,"7,7752125483","61,4207170393","1,5952845762","1895,084314326","539,9664724051","151,8438770521","21,6300841255","311,7568707324","760,993126418","69,3840170298","2770,6227709303","97,4018135344"
312,0,"6,4375136482","43,6160475631","3,8002431448","1960,1134321635","951,3192497385","80,5230630969","22,0134784533","358,3231614812","100,1784519406","72,4778648748","2171,8015631823","209,5076720622"
313,0,"7,4010515402","66,9185834767","4,1070859672","1989,4614731558","678,5791568434","98,4310474803","20,8884544592","294,1943811452","444,4987138053","71,949777719","1944,7125147983","263,5234450333"
314,0,"6,5263705397","42,2535954116","1,49775914","1885,5770349945","484,934756563","104,3340614593","21,9040424126","251,5604044603","799,1304796311","72,8033979156","2748,9409016151","177,7327906001"
315,0,"7,6531811265","41,0029629599","3,2664726702","2031,4358975395","1100,051661847","72,9820874575","18,7015438451","222,3464999666","44,3797832788","71,3864464122","2582,9677802237","191,6932617561"
316,0,"8,5600549568","58,2717053359","3,5727895117","1992,3447815152","724,1091844299","129,9472677574","22,0136150538","304,9409801849","914,4707281933","74,6116517121","2657,574874794","164,4484432058"
317,0,"8,1825308998","53,2641810042","2,9307568291","2184,4931995204","933,3682113874","117,8015650902","23,7940651443","255,019718225","493,9088970608","72,2689474057","2617,8692236026","191,0797760965"
318,0,"1,2623102409","46,2537409826","3,7397937032","2021,4542223342","806,089943579","70,5073486261","25,003380729","278,5970258878","616,5304806939","75,682626556","1143,210334098","169,4597492235"
319,0,"5,3641387141","54,5814418343","3,1132671183","2020,3099032486","383,0068979919","129,5787671542","20,7988489848","306,0881900722","777,9627000114","69,8642613055","2160,777728634","290,9864644798"
320,0,"5,9911876341","48,6359689715","3,3076634856","1931,8819115493","1110,8968312192","62,6209237916","25,3340821305","294,2113955957","362,4071154078","76,4937677825","2787,3864917824","136,5483316973"
321,0,"6,1838631104","35,8160737287","1,7127833946","2025,82492462","969,3239595035","121,9218593474","21,3468915754","270,0827929094","682,2086348003","71,0102503327","1891,0082044389","268,0386811738"
322,0,"5,1134662774","67,0636603423","2,2020325453","1905,1722662221","828,6910040031","67,342235014","19,5254848879","173,4849199245","269,2302343105","71,8410834688","2761,667212013","206,4364258679"
323,0,"7,0346572537","69,3557194766","4,1225813128","2122,8482909633","554,0008458255","127,5420932846","24,5811714119","299,9613364251","823,3707105608","75,9635434678","2291,4079539671","106,7165791712"
324,0,"9,5117372727","58,1963013757","2,2233373537","1929,5846956622","444,1844022406","123,6873839357","20,5200412782","292,6786384826","469,4365571716","71,0907746551","1908,2037593465","216,4792899755"
325,0,"7,0646922049","70,0927279531","2,1773063891","2104,05468879","925,3315752246","92,6180114407","15,6958938036","298,9301498407","1067,8984699374","69,4094535359","2825,4274739685","218,9463481758"
326,0,"3,3041565455","47,4878129181","2,9951247472","1784,4822452486","975,846909215","81,4416200715","19,7096151176","317,8168591212","245,6058275637","74,8167634987","3427,3251026104","215,7421063674"
327,0,"6,7205338856","62,0125892533","3,3109001426","1975,6179828865","309,2924133226","123,899944663","24,00073869","361,2655233715","831,2562440305","66,2212338032","2168,3029835064","135,2665815831"
328,0,"6,3373219463","59,2296879214","3,3585016066","2051,4464632937","558,9068993186","51,8206675878","24,179274596","313,0461027588","718,3273071807","70,2803268303","2069,0615047112","174,1412944883"
329,0,"3,1119448327","45,0970841977","4,5255915725","2145,1501562022","220,5148570066","104,6547744056","26,2581854404","238,5994289527","126,8649406409","74,1485701341","2607,2613040276","205,8321890586"
330,0,"5,0418093482","63,7948374174","1,4833516613","1924,2052086232","1228,224016018","96,563368579","19,8032006029","276,3184764435","677,9510935084","76,1759516551","2362,4187941008","220,6241863394"
331,0,"5,9833571259","57,6279058129","1,1975956192","2021,6358968855","1007,4480616816","143,278274297","24,5256498547","336,2470487788","752,2524908394","70,0604830046","2474,4202650196","197,8261300172"
332,0,"11,7051059439","32,1476573948","2,6865984471","1831,5599437497","40,3834550477","130,8945460542","25,57215384","188,9186736107","1151,1173736644","72,0767729657","3140,2969598198","145,8696782918"
333,0,"6,484849011","39,3342619424","2,8289842165","1983,145503595","950,6795124804","61,0744942114","22,9229218656","278,8504179303","955,7453796484","69,7487989864","2851,6318458872","290,5770498847"
334,0,"7,7488364527","57,9197600595","3,5614849401","1977,2131296065","406,4770109722","84,946013047","23,0762350873","246,9699232152","510,8171149087","69,7838076302","3142,9871377626","203,4977406218"
335,0,"6,4846777283","62,2209470362","3,5529017453","1884,7788133741","392,8695932473","124,7439249984","18,726909129","263,0596305799","319,2008201813","72,2798620922","3628,8771927429","165,402757037"
336,0,"10,1876723264","57,6153269438","3,3910088699","2023,7858035389","723,9214022487","136,9013650271","21,6501376118","327,4028556117","726,6277403124","72,50933189","2305,2412252436","199,5615893614"
337,0,"9,0961009372","55,1583397361","2,2245197573","2049,9337929911","639,4566490283","109,4385326235","20,1753001041","320,1576894564","215,4726460758","69,467119829","2085,9007102555","224,5471764401"
338,0,"9,3902430664","40,2509773478","4,5272046954","2010,4265127784","888,1915624977","93,0318909261","24,4474800624","287,5328130525","274,4590256167","75,3395877365","2548,8807717031","257,4957227749"
339,0,"11,5650450758","69,5168324889","2,8902033627","1980,3015535026","587,8232723882","130,1650942587","25,2375295937","246,0674207472","212,5183142038","76,4521192388","2421,7549587483","137,0776898149"
340,0,"6,6558582598","62,3957475498","2,1439685223","1807,5959101346","361,0222378287","176,9188459544","22,9599237756","275,3417179621","122,4787645772","73,5447195851","2711,6695819901","239,1856542169"
341,0,"5,0576088914","36,0772962867","1,5631707753","1984,3955602053","1066,2003422379","132,9857985049","18,4802693809","323,2638702744","318,1658647158","72,0723644923","1637,0855768796","260,0514878401"
342,0,"6,0325292022","66,0664884169","2,9940493898","1951,1325206207","710,3623000073","91,5734753462","26,5203596791","245,4827821125","726,3152062854","75,5115552161","2674,7986926177","240,8016896065"
343,0,"2,8969731967","65,0996179284","2,3346238041","1984,3145125747","316,9793754977","56,6365671681","26,3721759765","274,8734671491","312,5853037889","71,7026683829","2122,1016550701","195,2976987813"
344,0,"8,3575756664","66,3571197009","3,1634269389","2002,1510423498","1115,3535571418","113,3864699923","20,5525677928","328,9686077755","578,4860483099","72,5660858879","2696,8117395596","247,8973984117"
345,0,"2,2372707411","50,3998502423","3,5020634352","2074,5271719162","431,0236441464","110,4202232414","23,8823254411","248,8077793268","699,7250689454","73,087406677","3141,6160404143","210,6355307466"
346,0,"10,0680410437","39,1408890194","1,1905382132","1965,6958347054","785,238169634","99,1865521493","22,1552815917","305,3737116392","976,4887582339","76,9863365031","2099,2139427272","157,8318522423"
347,0,"4,8943349393","42,2204039213","2,1244244109","1970,7263521714","546,8160509049","167,7449373098","20,3261743415","274,4339592294","351,0296589227","74,4458914237","2723,281123489","256,1120814701"
348,0,"5,5239693924","23,1434005604","1,8829089946","1905,9420958703","730,8309805126","117,7297584147","23,8051229379","288,6063697788","377,545633527","68,606157152","2773,6044346667","267,8654310864"
349,0,"1,5656134581","40,4719108616","2,8706814819","1984,8394748863","923,0844993015","117,2903186441","20,5553436059","233,4178839438","1120,6849699312","70,7779638927","2347,0096353598","108,3424348791"
350,0,"8,6064112406","39,4527062326","4,7481064691","1951,479448865","891,7849845382","107,4903348365","24,370940778","351,9348791254","147,418317561","76,6992210263","2707,4116240471","303,7564064084"
351,0,"8,0991359721","34,6584329385","1,4577040522","1992,6255818603","787,0536153745","115,1684152212","22,4632663491","314,8132000758","76,7398503787","75,4545902551","2715,6740632393","317,2571688279"
352,0,"5,9823631092","57,5329564827","3,6046738516","2055,243403169","956,2468638761","48,9114762553","23,470463156","295,9005907431","556,4560444846","79,5829574669","2622,9907611942","234,2995351095"
353,0,"10,2386533389","77,2777281397","2,6963756362","1970,8308545348","890,8895088329","150,5731615088","19,3582065353","300,0633734877","498,0791966854","70,8463592068","2539,4472960805","200,3361146481"
354,0,"8,5695402089","51,2403468052","2,7484259305","1888,3491318199","291,2474794525","135,138172328","20,796940795","316,7655981013","461,1510947092","69,4059751499","2348,2862660451","90,509299503"
355,0,"6,8641211509","72,0170904451","4,2753253372","1894,1043874518","893,5664057572","84,4977603343","20,2197635825","220,4141184775","515,6997891482","76,6608350622","2576,0115036746","214,1050997559"
356,0,"7,1300802818","67,5663179432","2,9088347005","2150,7930527867","885,8172853692","89,4310083724","22,6603416371","285,9552229676","605,7997174013","69,4757804033","2696,4692200737","267,3206402156"
357,0,"7,3580268274","49,360765484","2,6612671257","1948,8786163906","719,2465381044","97,8747821939","21,3762602785","273,8888459037","976,7775770382","77,1712094153","2414,5073624578","162,9982343214"
358,0,"7,376520413","64,4622078818","3,3247296121","2011,5060081322","1201,3826306483","101,0106938366","19,4255131646","301,2760199017","262,3128282286","75,3365324964","1865,6888326742","154,8188840211"
359,0,"10,795997244","70,7688162514","2,8715616828","2021,7546411016","674,198891236","109,2465706296","21,1325727598","283,5568168055","534,4602826898","77,8256766375","1823,2565118939","202,3261465059"
360,0,"9,7180228131","52,6981069667","2,0970101284","2013,2088620015","429,9190915879","62,7432719123","23,9612333217","248,8492927058","322,2206322424","71,7589087741","2167,5330296915","250,8221780086"
361,0,"5,9395600931","78,8477709062","2,5441919192","2062,918247192","718,4926376235","119,9244251115","21,043500507","237,9112364022","223,0494801843","76,3988749575","2300,7779191392","242,4168746396"
362,0,"2,1837733404","56,1397464612","3,2815202076","2015,7047696707","695,7410049384","122,2732222679","20,6462835947","364,8725577442","904,6233375623","66,522175025","2363,6212297942","213,6755987511"
363,0,"5,1400352941","39,0408897086","2,9872134712","1906,3841396771","41,0260562599","123,7014919143","23,290321643","273,8571586611","39,8190813612","72,1240202168","2038,4695873789","212,3077113702"
364,0,"7,159747319","65,9512878424","3,1704395","2048,585970445","1210,607454124","122,7107234457","21,4421783347","263,9844417341","681,7143872714","75,8197222232","2896,345345719","256,7374020847"
365,0,"2,2156519283","60,9219294959","2,3759772588","1918,6981027824","623,4385758625","130,5940712408","21,5369460859","276,4644825918","161,9619692166","72,4907825855","2790,2994910708","257,1473885119"
366,0,"7,4650669345","41,2464520256","1,1657434978","2035,6040065035","757,3572746474","103,8065423417","18,6371283331","307,6295174363","663,8132983486","68,784661379","2563,1797387344","133,3787107679"
367,0,"6,117312108","45,5418348046","2,7177550127","2092,1787500462","21,7719937743","48,0871144573","26,1051666366","289,4944006116","8,4603174452","71,6170303971","2680,1944008251","212,6378109288"
368,0,"6,5113288795","54,0687515679","3,0486808664","1937,5822534667","512,5966992211","111,0684714557","22,574465667","343,7676215261","974,6445397085","69,4715169091","2180,4740291691","163,7047622101"
369,0,"8,6645520743","27,0193744352","3,6071377736","1931,7638581364","652,1033127845","103,1332008797","24,4763964005","276,4503523193","810,6978289762","69,6222241524","1950,1650649346","202,7863608672"
370,0,"8,7790192059","43,7098415976","2,8026184073","1948,4179538942","798,3114544201","91,2186989435","20,6271159022","254,4584785135","115,7601061906","72,8148302509","3323,6388214453","104,1373108338"
371,0,"2,7860714438","70,9227155626","2,4880087455","2015,6791461732","666,7666639203","124,5546474457","24,655512008","344,9919997288","330,3992663594","70,7018453456","2190,6316075568","244,3149964031"
372,0,"10,4026286007","70,1698458201","2,5336660289","1949,0628654066","1013,7064751575","138,3365889707","24,1315067246","275,0938368153","160,5132453758","73,7263935259","3259,5813756358","228,4104936043"
373,0,"6,8185468163","63,0781862106","3,272958147","2033,50237117","622,5017967939","91,0709593456","21,4538700756","260,8248892954","395,1706932527","78,9144811773","2553,615831049","223,8872461733"
374,0,"5,9079321029","55,9484552488","3,9505014317","1910,6320507235","700,9070946993","152,8214340442","22,3332538135","235,940152349","143,0308544417","68,8304957365","2434,8572138573","265,8372775458"
375,0,"6,7768884255","49,6973106742","2,1068877075","1914,0893685693","963,7483973913","58,7108085953","23,8137084314","278,61224","793,402805453","82,6820510353","1422,9757534098","283,239742352"
376,0,"7,2599106263","53,415599266","4,6208867903","2017,0400942518","1050,5359711103","114,6444850919","23,7454951641","252,1475413119","701,8427685051","80,018777534","2170,596710262","232,5310762601"
377,0,"9,699155575","79,808090623","2,4032753942","1982,3841086149","956,9066599521","117,0136957155","22,5409283399","267,887908321","808,689664923","78,8912875658","1741,1466856257","240,1848785433"
378,0,"7,3171682614","33,3262786735","0,4633420359","1925,6106159221","992,7604358264","88,3831369837","22,147629804","160,2558428923","951,2226290669","76,210115806","2781,5400251431","127,6527507998"
379,0,"5,154471054","77,3555895329","2,958671608","1844,2808352693","967,3277242838","67,1676209583","16,0489783345","286,3081076381","385,4432897637","71,1303712915","1957,3421306203","253,5194275467"
380,0,"8,4656724596","50,6364386273","1,9887321839","2008,3003105832","866,596263338","82,5586273885","26,6470044262","274,5632061299","342,5402680586","78,2027312131","2407,8733857411","235,1714225813"
381,0,"8,7797421699","64,0565613093","2,7365663707","2010,7954063705","1047,3283717232","130,5319509224","22,3164699557","302,2716955868","347,4333815772","69,0394564879","2730,758242181","166,1011737992"
382,0,"4,4466551948","53,0492634148","4,1608252545","2034,3131087696","561,772934751","102,1803148218","19,2774157126","286,6260506968","785,9871285384","74,5472893266","2076,4600836395","223,4578100948"
383,0,"10,5457056324","26,647154489","2,7097137475","1963,1692971783","766,4713487981","135,144778784","24,6939302555","222,2760361624","376,9671759788","73,6778340301","1892,5812625048","269,2398665356"
384,0,"4,9947302251","54,3342271309","2,1039722451","1900,2218522026","416,024240057","120,9343725275","21,2925988067","304,9353626569","28,2211526777","73,4485395967","2765,547153341","259,9164729258"
385,0,"9,3279967967","82,9561574809","3,400159965","2028,4531293932","1210,2263119038","120,8178551464","24,8849988369","288,3966624972","730,6545688529","76,9821224682","1750,3775219089","128,6857818073"
386,0,"9,1607054825","84,3107653835","2,7288159051","2075,8989888795","893,8871577945","134,8501262493","20,1637352099","303,9307641824","271,6699425732","72,6233842105","3003,3355792822","354,9580878262"
387,0,"6,6508909253","62,726164485","3,5783234512","1988,5966757387","948,9813448463","135,7074940214","22,01210557","221,2042950838","609,3506551746","71,8017817436","3817,2694841035","344,7183808939"
388,0,"7,3037755375","52,9222581636","3,6669933248","2019,5743510984","566,8017991917","108,0530399471","24,3171068999","327,2191883896","443,6860256268","80,1142661322","3320,9512812355","219,1988821951"
389,0,"3,4490571491","27,2729280063","2,5032630125","1949,5090545129","670,8799217843","113,5534441123","24,2830808409","266,9064992026","926,9155894905","74,1937962841","1938,360880908","252,151398169"
390,0,"7,5831526035","65,1798735265","4,4154651968","2040,5908031749","409,199726656","126,2908400612","20,9852939918","227,5533306346","57,2559204973","74,8085486193","2191,2851643962","213,571776833"
391,0,"3,9868588346","57,341919847","1,0673386793","1964,2882045956","349,3266319883","107,2883831962","19,9885435669","223,4490611339","62,7350258827","73,2699406517","2269,0700854593","226,8386658545"
392,0,"14,4405218754","47,7133620281","2,4965190781","2064,6442606505","933,835041021","106,8983724768","22,2723996381","348,0490515406","950,6853839969","74,8868391885","2694,5860066311","330,7285292194"
393,0,"9,5420902182","36,5700160924","4,0270663272","1872,8159820096","1198,8662684873","90,6718621633","23,6072603591","333,3413838033","27,536527511","74,0649025255","1466,0306596442","166,7488467745"
394,0,"5,3120183797","73,2939254679","3,3789184408","1944,6064043013","894,0371875734","113,0081050851","20,0878523047","250,6337672707","589,8832568463","70,1912351883","2370,0786972945","210,2961118426"
395,0,"7,7987523089","37,1917725994","2,498732601","2057,9495540819","334,4800770969","91,2811550591","22,5206093768","266,5445619241","271,2332534413","77,0394722178","3441,764985858","174,374938643"
396,0,"5,4718430105","59,0288637431","2,0769989324","2032,742037397","717,818676969","124,5939641839","25,2736024399","320,2324847142","310,6547672102","74,0376365422","3065,2363261408","172,5741060841"
397,0,"3,425546811","39,6537892557","2,2745922974","2036,6695359164","734,1646786255","93,2925291064","21,1584387789","308,0507840225","530,8899126964","69,3385407082","2465,3221095559","240,1314901539"
398,0,"6,7486801357","57,1639397459","4,2280510334","1839,6713163168","316,0274731568","155,7780807363","25,3691867427","359,6424827384","132,4483253083","71,3247598579","2439,0305583379","327,4396653411"
399,0,"4,538570584","63,5616451236","3,027069139","2095,7167542304","920,7628166312","105,77866798","20,5321352105","244,4765928839","859,4323381111","72,4294673197","2844,6555099826","196,4420310151"
400,0,"11,8541259172","61,238862125","3,9769560031","1957,1611742694","842,6926813794","97,573651281","22,1302835639","263,0325027773","184,4766363816","73,6677940129","2935,1022290416","217,2097434573"
401,0,"8,3563686614","64,5225945367","2,5500627109","1938,2880778351","943,907993187","100,6104375875","17,6240252504","312,4253155135","857,4917415703","77,6536227152","1946,7099306914","239,8840432812"
402,0,"8,749852217","47,1763453691","0,5515084982","1934,5556701976","470,6191545414","119,5034742951","23,095187204","332,1234152707","396,8475678215","73,7976177273","2687,995919011","166,0879417013"
403,0,"6,5423800444","46,2378863483","3,3608424765","2012,8794517201","1128,7894704393","90,225540324","24,3737833313","259,90889709","589,6645055549","68,3145249765","2793,7839014052","184,9087268829"
404,0,"3,570409821","64,0409646419","3,5635094191","1861,4935458253","815,9936413952","134,8559878959","23,340665473","227,3329743264","153,8535947231","79,9161848742","3089,1288122452","343,5159796664"
405,0,"7,7079849131","55,6190320901","3,5473543335","1910,8393165937","440,0666153409","117,5927186276","20,9370383928","275,1282480427","937,4942384577","70,8814009128","2501,8131478512","291,4531172637"
406,0,"6,9045618627","58,5232469512","3,9406194871","1964,7806162365","443,9249757378","84,3376352943","20,0570608064","262,4705475265","334,7009781204","78,0716510275","2174,615389634","255,3041907389"
407,0,"12,6348439507","37,5473728605","2,3864103688","1980,9564524552","750,9038279174","112,8215486517","22,1953770153","241,2185821923","580,0775673584","70,012395692","2413,3859686822","108,2995732043"
408,0,"5,078708317","82,750271476","1,6788464347","1954,6342945969","589,7691599608","156,8767981726","25,9167634296","300,3028141052","738,1174784485","74,2919068623","2273,03216","245,6297031709"
409,0,"9,4242252037","78,4941526166","3,723067521","1964,1973248291","579,1818057547","111,6746592805","23,4759177314","277,1420212704","879,8024632826","72,8229997077","1876,1358980502","141,4187936063"
410,0,"10,8729401579","76,9455805453","4,131737144","1986,9445606882","848,4274461562","113,2745211915","21,460808807","352,4689411235","396,741073789","71,1693999783","2427,5626877995","334,8820683723"
411,0,"4,9966539321","54,5137155369","1,2732725187","1915,6427672693","472,3132953163","93,2909765317","16,7041079794","212,833055681","335,4500132942","71,8385519561","2478,4847674747","149,8076023741"
412,0,"9,5828224263","55,2783314787","2,8858551549","1951,7149307572","918,0424523298","198,9532071905","26,8112847226","286,7488097096","962,3455267941","73,6621316414","1379,5685140834","178,3575037449"
413,0,"3,7094324172","49,6032293931","2,2410904394","1920,3377886455","1199,0713668534","78,2043361437","22,8165560121","296,4315530497","599,4967211769","69,8478311666","3225,8478347857","205,0788575373"
414,0,"6,3707977789","52,4223625379","3,0376965324","1928,4714200128","1171,2312178332","82,8923710684","20,6780699718","317,269938187","200,9849774943","71,2950435617","1929,6468204985","300,7494933771"
415,0,"5,1976500347","61,4361222089","3,7586177502","2076,6015256321","988,2522718375","109,2081573121","20,2554391482","238,9602950943","106,7682780504","72,0877945837","2919,9160401185","132,8672065457"
416,0,"5,3153382166","56,0041412503","3,065947131","2020,8283313467","924,6677909733","88,6881266528","24,8023792181","292,716587968","636,8365318906","69,4924331057","1799,4933288149","205,6202765821"
417,0,"3,6821708536","82,0110140447","2,8270554954","2003,317069766","890,888308403","154,966324839","24,4617295613","307,7972906827","573,0153092953","71,9275065081","2570,3651256254","232,1838469349"
418,0,"7,8233524083","60,371372018","3,3419023492","1855,9896817377","718,9422439199","139,7713267252","21,2132651936","270,0171854701","549,1052586877","70,2610531915","1996,0251743151","164,0993105246"
419,0,"13,3787721132","50,9341821139","5,0402651707","1951,7416031013","632,974268176","108,5716110761","23,7955891644","234,8578051481","506,0400314796","73,9200386532","2645,7899888205","294,0880873339"
